publicacion_id;titulo;linea;visitas_30d;stock;costo_unitario;capital_parado;precio_venta;link
MCO1202864271;"Corbata Larga Satinada Slim Juvenil Elegante";accesorios;19;57;7500;427500;28900;https://articulo.mercadolibre.com.co/MCO-1202864271-corbata-larga-satinada-slim-juvenil-elegante-_JM
MCO612897484;"Pañuelo Blanco Para Bautizo";ceremonia;19;19;5000;95000;21800;https://articulo.mercadolibre.com.co/MCO-612897484-panuelo-blanco-para-bautizo-_JM
MCO1930234163;"Collar Aretes Pulsera Anillo Para Dama Elegante Verde / Plateado";accesorios;19;1;0;0;85000;https://articulo.mercadolibre.com.co/MCO-1930234163-collar-aretes-pulsera-anillo-para-dama-elegante-verde-plateado-_JM
MCO636770710;"Kit Primera Comunión Niña Cirio Corona Guantes Libro Rosario";ceremonia;18;4;29000;116000;98800;https://articulo.mercadolibre.com.co/MCO-636770710-kit-primera-comunion-nina-cirio-corona-guantes-libro-rosario-_JM
MCO1107200781;"Tocado Diadema Tiara Corona Novia Brillante Largo Plateado";ceremonia;18;3;9836;29508;46800;https://articulo.mercadolibre.com.co/MCO-1107200781-tocado-diadema-tiara-corona-novia-brillante-largo-plateado-_JM
MCO2845779596;"Set De Collar Aretes Elegantes Dama Fiesta Cadena";accesorios;18;2;12000;24000;55900;https://articulo.mercadolibre.com.co/MCO-2845779596-set-de-collar-aretes-elegantes-dama-fiesta-cadena-_JM
MCO3473531238;"Collar Mujer Cadena Dije Girasol Giratorio Antiestrés Dorado";accesorios;18;6;0;0;49800;https://articulo.mercadolibre.com.co/MCO-3473531238-collar-mujer-cadena-dije-girasol-giratorio-antiestres-dorado-_JM
MCO1339574369;"Pantalón De Drill Para Niño";ceremonia;17;58;30000;1740000;117900;https://articulo.mercadolibre.com.co/MCO-1339574369-pantalon-de-drill-para-nino-_JM
MCO611883633;"Libro Para Primera Comunión";ceremonia;17;16;3000;48000;14900;https://articulo.mercadolibre.com.co/MCO-611883633-libro-para-primera-comunion-_JM
MCO1384180873;"Pulsera Cadena Anillos Muñeca Gotico Punk Hombre Mujer";accesorios;17;9;3536;31824;28900;https://articulo.mercadolibre.com.co/MCO-1384180873-pulsera-cadena-anillos-muneca-gotico-punk-hombre-mujer-_JM
MCO1790121585;"Collar Cadena Girasol Mujer Dorado Giratorio Elegante Dorado";accesorios;17;4;0;0;49800;https://articulo.mercadolibre.com.co/MCO-1790121585-collar-cadena-girasol-mujer-dorado-giratorio-elegante-dorado-_JM
MCO623718361;"Cirio Confirmación Decorado";ceremonia;16;23;9000;207000;40900;https://articulo.mercadolibre.com.co/MCO-623718361-cirio-confirmacion-decorado-_JM
MCO1289060467;"Pin Broche Para Caballero Elegante Dorado";accesorios;16;4;10120;40480;45800;https://articulo.mercadolibre.com.co/MCO-1289060467-pin-broche-para-caballero-elegante-dorado-_JM
MCO3699784830;"Juego Collar Aretes Cobre Mujer Fiesta Plateado Azul Agua";accesorios;16;2;12229;24458;65000;https://articulo.mercadolibre.com.co/MCO-3699784830-juego-collar-aretes-cobre-mujer-fiesta-plateado-azul-agua-_JM
MCO1554089501;"Tiara Corona Reina Quinceañera Primera Comunión Azul";ceremonia;16;1;22622;22622;89900;https://articulo.mercadolibre.com.co/MCO-1554089501-tiara-corona-reina-quinceanera-primera-comunion-azul-_JM
MCO977555376;"Tocado Cabello Diadema Novia Quinceañera Primera Comunión Plateado";ceremonia;16;3;7424;22272;43800;https://articulo.mercadolibre.com.co/MCO-977555376-tocado-cabello-diadema-novia-quinceanera-primera-comunion-plateado-_JM
MCO1930168325;"Collar Aretes Pulsera Para Dama Elegante Verde";accesorios;16;1;0;0;75000;https://articulo.mercadolibre.com.co/MCO-1930168325-collar-aretes-pulsera-para-dama-elegante-verde-_JM
MCO4097395806;"Conjunto Collar Pulsera Cubana Hip Hop 40 Cm Plateado";accesorios;16;5;0;0;82800;https://articulo.mercadolibre.com.co/MCO-4097395806-conjunto-collar-pulsera-cubana-hip-hop-40-cm-plateado-_JM
MCO1202899663;"Correa Cinturon Reata Elastica Caballero Hebilla Metalica";accesorios;14;6;7000;42000;56800;https://articulo.mercadolibre.com.co/MCO-1202899663-correa-cinturon-reata-elastica-caballero-hebilla-metalica-_JM
MCO603949928;"Combo De Primera Comunión; Libro, Camandula Y Guantes";ceremonia;14;7;0;0;40900;https://articulo.mercadolibre.com.co/MCO-603949928-combo-de-primera-comunion-libro-camandula-y-guantes-_JM
MCO1846212227;"Juego Collar Aretes Pulsera Cobre Mujer Fiesta Elegante Oro Rosa 1";accesorios;14;1;0;0;65000;https://articulo.mercadolibre.com.co/MCO-1846212227-juego-collar-aretes-pulsera-cobre-mujer-fiesta-elegante-oro-rosa-1-_JM
MCO1430161529;"Broche Para Dama En Forma De Flores Libélula Trébol Corona ";ceremonia;13;39;5300;206700;34900;https://articulo.mercadolibre.com.co/MCO-1430161529-broche-para-dama-en-forma-de-flores-libelula-trebol-corona-_JM
MCO962498367;"Tocado Peineta Novia Quinceañera Primera Comunión";ceremonia;13;15;5597;83955;36900;https://articulo.mercadolibre.com.co/MCO-962498367-tocado-peineta-novia-quinceanera-primera-comunion-_JM
MCO1315115529;"Pin  Prendedor Broche Metalico Hombre Traje";ceremonia;12;18;6018;108324;38800;https://articulo.mercadolibre.com.co/MCO-1315115529-pin-prendedor-broche-metalico-hombre-traje-_JM
MCO3214446340;"Pulsera Manilla Brazalete Identificación Acero Unisex";accesorios;12;10;4500;45000;32800;https://articulo.mercadolibre.com.co/MCO-3214446340-pulsera-manilla-brazalete-identificacion-acero-unisex-_JM
MCO1768316415;"Collar Dragon Elegante Colgante Gótico Con Piedra";accesorios;12;2;5100;10200;28900;https://articulo.mercadolibre.com.co/MCO-1768316415-collar-dragon-elegante-colgante-gotico-con-piedra-_JM
MCO977746143;"Tiara Tocado Diadema Novia Quinceañera 50cm";ceremonia;11;31;6000;186000;41900;https://articulo.mercadolibre.com.co/MCO-977746143-tiara-tocado-diadema-novia-quinceanera-50cm-_JM
MCO1103945805;"Tocado Flora Diadema Corona Peinado Novia Tiara Plateado";ceremonia;11;5;11624;58120;48900;https://articulo.mercadolibre.com.co/MCO-1103945805-tocado-flora-diadema-corona-peinado-novia-tiara-plateado-_JM
MCO2830504368;"Corona Tocado Para Novia Reina Con Brillantes Lila";ceremonia;11;1;29616;29616;113900;https://articulo.mercadolibre.com.co/MCO-2830504368-corona-tocado-para-novia-reina-con-brillantes-lila-_JM
MCO2849226024;"Protector De Talón Para Fascitis Plantar";accesorios;11;1;9833;9833;39900;https://articulo.mercadolibre.com.co/MCO-2849226024-protector-de-talon-para-fascitis-plantar-_JM
MCO2988507526;"Juego Plateado Collar Y Aretes Anillo Quinceaños Novia Plateado";ceremonia;11;7;0;0;65000;https://articulo.mercadolibre.com.co/MCO-2988507526-juego-plateado-collar-y-aretes-anillo-quinceanos-novia-plateado-_JM
MCO1959844621;"Broche Vintage Cristales Azules Y Gota Colgante Para Dama Azul";accesorios;11;1;0;0;55000;https://articulo.mercadolibre.com.co/MCO-1959844621-broche-vintage-cristales-azules-y-gota-colgante-para-dama-azul-_JM
MCO2068000677;"Anillo De Plata 975 Laminado En Oro Para Hombre Con Zirconio Nemea 10";accesorios;11;1;0;0;198000;https://articulo.mercadolibre.com.co/MCO-2068000677-anillo-de-plata-975-laminado-en-oro-para-hombre-con-zirconio-nemea-10-_JM
MCO622331212;"Traje De Niño Tipo Bautizo Tirantas - Elegante";ceremonia;10;17;68500;1164500;194800;https://articulo.mercadolibre.com.co/MCO-622331212-traje-de-nino-tipo-bautizo-tirantas-elegante-_JM
MCO622330027;"Traje Para Niño Tipo Bautizo - Elegante";ceremonia;10;2;83000;166000;265900;https://articulo.mercadolibre.com.co/MCO-622330027-traje-para-nino-tipo-bautizo-elegante-_JM
MCO636762652;"Kit Primera Comunión Niña Cirio Guantes Libro Camándula";ceremonia;10;7;19500;136500;84900;https://articulo.mercadolibre.com.co/MCO-636762652-kit-primera-comunion-nina-cirio-guantes-libro-camandula-_JM
MCO1703110710;"Tocado Pinza Para El Cabello Novia Quinceañera  Blanco";ceremonia;10;6;8738;52428;44900;https://articulo.mercadolibre.com.co/MCO-1703110710-tocado-pinza-para-el-cabello-novia-quinceanera-blanco-_JM
MCO1959870691;"Aretes Collar Trebol Elegante Para Dama Dorado Verde Dorado";accesorios;10;1;0;0;55000;https://articulo.mercadolibre.com.co/MCO-1959870691-aretes-collar-trebol-elegante-para-dama-dorado-verde-dorado-_JM
MCO1319087635;"Tirantas Pierna Camisa Sin Arrugas Adulto";accesorios;9;2;12138;24276;44900;https://articulo.mercadolibre.com.co/MCO-1319087635-tirantas-pierna-camisa-sin-arrugas-adulto-_JM
MCO622334475;"Pava Bautizo Niña Bebe";ceremonia;8;13;11000;143000;46900;https://articulo.mercadolibre.com.co/MCO-622334475-pava-bautizo-nina-bebe-_JM
MCO902492984;"Guantes Niña Primera Comunión Ajustables";ceremonia;8;17;7016;119272;31900;https://articulo.mercadolibre.com.co/MCO-902492984-guantes-nina-primera-comunion-ajustables-_JM
MCO1619521095;"Conjunto Collar Pulsera Cubana Hip Hop 40 Cm Dorado";accesorios;8;3;17859;53577;82800;https://articulo.mercadolibre.com.co/MCO-1619521095-conjunto-collar-pulsera-cubana-hip-hop-40-cm-dorado-_JM
MCO2209000154;"Pisa Corbata Clip Magnético Invisible Para Corbata Plateado";accesorios;8;7;5796;40572;28900;https://articulo.mercadolibre.com.co/MCO-2209000154-pisa-corbata-clip-magnetico-invisible-para-corbata-plateado-_JM
MCO565672357;"Zapato Zapatilla Baleta De Ceremonia Tipo Princesa";ceremonia;7;49;34000;1666000;115900;https://articulo.mercadolibre.com.co/MCO-565672357-zapato-zapatilla-baleta-de-ceremonia-tipo-princesa-_JM
MCO2589196906;"Zapato Zapatilla Elegante Ocación Especial Comunión Niña";ceremonia;7;8;34000;272000;120000;https://articulo.mercadolibre.com.co/MCO-2589196906-zapato-zapatilla-elegante-ocacion-especial-comunion-nina-_JM
MCO1103703735;"Accesorios Novia Matrimonio Diadema Tiara Tocado 100 Cm";ceremonia;7;20;10123;202460;55900;https://articulo.mercadolibre.com.co/MCO-1103703735-accesorios-novia-matrimonio-diadema-tiara-tocado-100-cm-_JM
MCO1453059350;"Pin Broche Para Caballero Elegante ";accesorios;7;17;7270;123590;41900;https://articulo.mercadolibre.com.co/MCO-1453059350-pin-broche-para-caballero-elegante-_JM
MCO1279408657;"Pin Alta Gama Pisa Cuello Para Hombre, Cuello Camisa";accesorios;7;14;7384;103376;35900;https://articulo.mercadolibre.com.co/MCO-1279408657-pin-alta-gama-pisa-cuello-para-hombre-cuello-camisa-_JM
MCO1279437795;"Accesorio Broche Pin  Y Pisa Cuello Para Traje Hombre ";ceremonia;7;8;10924;87392;49800;https://articulo.mercadolibre.com.co/MCO-1279437795-accesorio-broche-pin-y-pisa-cuello-para-traje-hombre-_JM
MCO1402745233;"Conjunto Deportivo Top Y Short Para Dama ";accesorios;7;3;15000;45000;68800;https://articulo.mercadolibre.com.co/MCO-1402745233-conjunto-deportivo-top-y-short-para-dama-_JM
MCO977578605;"Tocado Cabello Novia O Primera Comunión Floral Perlas Blanco";ceremonia;7;6;6371;38226;56900;https://articulo.mercadolibre.com.co/MCO-977578605-tocado-cabello-novia-o-primera-comunion-floral-perlas-blanco-_JM
MCO3510021052;"Collar Cadena Sistema Solar Espacio Planetas Galaxia";accesorios;7;2;5680;11360;31900;https://articulo.mercadolibre.com.co/MCO-3510021052-collar-cadena-sistema-solar-espacio-planetas-galaxia-_JM
MCO4223139034;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Palacio 7";accesorios;7;1;0;0;185000;https://articulo.mercadolibre.com.co/MCO-4223139034-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-palacio-7-_JM
MCO4230652878;"Anillo De Promesa Para Mujer En Plata Y Oro 18k Laminado Anhelo 9";accesorios;7;1;0;0;178000;https://articulo.mercadolibre.com.co/MCO-4230652878-anillo-de-promesa-para-mujer-en-plata-y-oro-18k-laminado-anhelo-9-_JM
MCO4230655502;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Unión Rosa 8";accesorios;7;1;0;0;125000;https://articulo.mercadolibre.com.co/MCO-4230655502-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-union-rosa-8-_JM
MCO1711078261;"Set Tiara Collar Aretes Anillo 15 Años Princesa Elegante";ceremonia;6;12;70000;840000;280000;https://articulo.mercadolibre.com.co/MCO-1711078261-set-tiara-collar-aretes-anillo-15-anos-princesa-elegante-_JM
MCO1337156981;"Sandalia Para Niña De Fiesta Elegante Primera Comunión ";ceremonia;6;19;34000;646000;138900;https://articulo.mercadolibre.com.co/MCO-1337156981-sandalia-para-nina-de-fiesta-elegante-primera-comunion-_JM
MCO2589261256;"Sandalia Elegante Niña Fiesta Ocasión Primera Comunión";ceremonia;6;13;34000;442000;129900;https://articulo.mercadolibre.com.co/MCO-2589261256-sandalia-elegante-nina-fiesta-ocasion-primera-comunion-_JM
MCO1939344200;"Conjunto De Collar Aretes Y Tiara Para Quinceañera Novia";ceremonia;6;11;29900;328900;145000;https://articulo.mercadolibre.com.co/MCO-1939344200-conjunto-de-collar-aretes-y-tiara-para-quinceanera-novia-_JM
MCO603903304;"Cirio De Primera Comunión Decorados ";ceremonia;6;31;9000;279000;47900;https://articulo.mercadolibre.com.co/MCO-603903304-cirio-de-primera-comunion-decorados-_JM
MCO977489243;"Tiara Corona Tocado Mariposa Niña Primera Comunión Elegante";ceremonia;6;6;10324;61944;64900;https://articulo.mercadolibre.com.co/MCO-977489243-tiara-corona-tocado-mariposa-nina-primera-comunion-elegante-_JM
MCO1935394030;"Aretes Pendientes Elegantes Para Fiesta Brillantes Plateado";accesorios;6;3;8535;25605;40900;https://articulo.mercadolibre.com.co/MCO-1935394030-aretes-pendientes-elegantes-para-fiesta-brillantes-plateado-_JM
MCO603977018;"Combo De Primera Comunión; Libro, Camandula, Guantes Y Cirio";ceremonia;6;7;0;0;95800;https://articulo.mercadolibre.com.co/MCO-603977018-combo-de-primera-comunion-libro-camandula-guantes-y-cirio-_JM
MCO4019431918;"Set Collar Y Aretes Elegante Diseño Floral Negro Plateado Negro";accesorios;6;1;0;0;59400;https://articulo.mercadolibre.com.co/MCO-4019431918-set-collar-y-aretes-elegante-diseno-floral-negro-plateado-negro-_JM
MCO4019263146;"Set Joyería Dama 4 Piezas Collar, Aretes, Pulsera Y Anillo Plateado";accesorios;6;1;0;0;79900;https://articulo.mercadolibre.com.co/MCO-4019263146-set-joyeria-dama-4-piezas-collar-aretes-pulsera-y-anillo-plateado-_JM
MCO611698205;"Sandalia Tacón Niña Dama Comoda Ocasión Elegante Fiesta";ceremonia;5;32;32000;1024000;125000;https://articulo.mercadolibre.com.co/MCO-611698205-sandalia-tacon-nina-dama-comoda-ocasion-elegante-fiesta-_JM
