accion;prioridad;publicacion_id;titulo;canal;stock;visitas_30d;precio;capital;vendidas_ene_jul_2025;vendidas_ago_dic_2025;link
MUERTA: LIQUIDAR;3;MCO4230702308;"Anillo De Promesa Para Mujer En Plata Y Oro 18k Laminado Entrega 6.5";internacional;1;0;178000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230702308-anillo-de-promesa-para-mujer-en-plata-y-oro-18k-laminado-entrega-65-_JM
MUERTA: LIQUIDAR;3;MCO4230655496;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Plenitud 7";internacional;1;2;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230655496-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-plenitud-7-_JM
MUERTA: LIQUIDAR;3;MCO4230655504;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Fidelidad 8.5";internacional;1;1;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230655504-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-fidelidad-85-_JM
MUERTA: LIQUIDAR;3;MCO4230652878;"Anillo De Promesa Para Mujer En Plata Y Oro 18k Laminado Anhelo 9";internacional;1;7;178000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230652878-anillo-de-promesa-para-mujer-en-plata-y-oro-18k-laminado-anhelo-9-_JM
MUERTA: LIQUIDAR;3;MCO4230655508;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Destino Verde 5.5";internacional;1;2;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230655508-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-destino-verde-55-_JM
MUERTA: LIQUIDAR;3;MCO4230655510;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Devoción 6";internacional;1;1;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230655510-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-devocion-6-_JM
MUERTA: LIQUIDAR;3;MCO4230702312;"Anillo De Promesa Para Mujer En Plata Y Oro 18k Laminado Eternidad 6";internacional;1;1;178000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230702312-anillo-de-promesa-para-mujer-en-plata-y-oro-18k-laminado-eternidad-6-_JM
MUERTA: LIQUIDAR;3;MCO4230655502;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Unión Rosa 8";internacional;1;7;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230655502-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-union-rosa-8-_JM
MUERTA: LIQUIDAR;3;MCO4230652872;"Anillo De Promesa Para Mujer En Plata Y Oro 18k Laminado Complicidad 7";internacional;1;3;178000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230652872-anillo-de-promesa-para-mujer-en-plata-y-oro-18k-laminado-complicidad-7-_JM
MUERTA: LIQUIDAR;3;MCO4230652884;"Anillo De Promesa Para Mujer En Plata Y Oro 18k Laminado Eternidad 8";internacional;1;2;178000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230652884-anillo-de-promesa-para-mujer-en-plata-y-oro-18k-laminado-eternidad-8-_JM
MUERTA: LIQUIDAR;3;MCO4230652876;"Anillo De Promesa Para Mujer En Plata Y Oro 18k Laminado Promesa 6";internacional;1;0;178000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230652876-anillo-de-promesa-para-mujer-en-plata-y-oro-18k-laminado-promesa-6-_JM
MUERTA: LIQUIDAR;3;MCO4230652882;"Anillo De Promesa Para Mujer En Plata Y Oro 18k Laminado Anhelo 8";internacional;1;0;178000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230652882-anillo-de-promesa-para-mujer-en-plata-y-oro-18k-laminado-anhelo-8-_JM
MUERTA: LIQUIDAR;3;MCO4230652880;"Anillo De Promesa Para Mujer En Plata Y Oro 18k Laminado Entrega 6";internacional;1;1;178000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230652880-anillo-de-promesa-para-mujer-en-plata-y-oro-18k-laminado-entrega-6-_JM
MUERTA: LIQUIDAR;3;MCO4230655506;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Ilusión 7";internacional;1;2;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230655506-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-ilusion-7-_JM
MUERTA: LIQUIDAR;3;MCO4230655500;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Ilusión 7.5";internacional;1;0;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230655500-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-ilusion-75-_JM
MUERTA: LIQUIDAR;3;MCO4230655498;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Fidelidad 8";internacional;1;1;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230655498-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-fidelidad-8-_JM
MUERTA: LIQUIDAR;3;MCO4230652874;"Anillo De Promesa Para Mujer En Plata Y Oro 18k Laminado Eternidad 7";internacional;1;0;178000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230652874-anillo-de-promesa-para-mujer-en-plata-y-oro-18k-laminado-eternidad-7-_JM
MUERTA: LIQUIDAR;3;MCO4230655494;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Ternura 7";internacional;1;1;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230655494-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-ternura-7-_JM
MUERTA: LIQUIDAR;3;MCO2068278399;"Anillo Para Mujer Elegante Plata 975 Laminado Oro Estuche Nébula 6.5";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2068278399-anillo-para-mujer-elegante-plata-975-laminado-oro-estuche-nebula-65-_JM
MUERTA: LIQUIDAR;3;MCO2068241443;"Anillo Para Mujer Elegante Plata 975 Laminado Oro Estuche Umbra 7.5";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2068241443-anillo-para-mujer-elegante-plata-975-laminado-oro-estuche-umbra-75-_JM
MUERTA: LIQUIDAR;3;MCO2067988209;"Anillo De Plata 975 Laminado En Oro Para Hombre Con Zirconio Nemea 8.5";internacional;3;0;198000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2067988209-anillo-de-plata-975-laminado-en-oro-para-hombre-con-zirconio-nemea-85-_JM
MUERTA: LIQUIDAR;3;MCO2068290713;"Anillo Para Mujer Elegante Plata 975 Laminado Oro Estuche Sideral 8";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2068290713-anillo-para-mujer-elegante-plata-975-laminado-oro-estuche-sideral-8-_JM
MUERTA: LIQUIDAR;3;MCO2068278401;"Anillo Para Mujer Elegante Plata 975 Laminado Oro Estuche Órbita 7.5";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2068278401-anillo-para-mujer-elegante-plata-975-laminado-oro-estuche-orbita-75-_JM
MUERTA: LIQUIDAR;3;MCO2068290715;"Anillo Para Mujer Elegante Plata 975 Laminado Oro Estuche Andrómeda 7";internacional;1;1;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2068290715-anillo-para-mujer-elegante-plata-975-laminado-oro-estuche-andromeda-7-_JM
MUERTA: LIQUIDAR;3;MCO2068000681;"Anillo De Plata 975 Laminado En Oro Para Hombre Con Zirconio Cronos 11";internacional;1;2;198000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2068000681-anillo-de-plata-975-laminado-en-oro-para-hombre-con-zirconio-cronos-11-_JM
MUERTA: LIQUIDAR;3;MCO2068278403;"Anillo Para Mujer Elegante Plata 975 Laminado Oro Estuche Eclipse 7";internacional;1;1;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2068278403-anillo-para-mujer-elegante-plata-975-laminado-oro-estuche-eclipse-7-_JM
MUERTA: LIQUIDAR;3;MCO2067988213;"Anillo De Plata 975 Laminado En Oro Para Hombre Con Zirconio Titan Plateado 10";internacional;1;4;198000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2067988213-anillo-de-plata-975-laminado-en-oro-para-hombre-con-zirconio-titan-plateado-10-_JM
MUERTA: LIQUIDAR;3;MCO2068241445;"Anillo Para Mujer Elegante Plata 975 Laminado Oro Estuche Órbita 8";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2068241445-anillo-para-mujer-elegante-plata-975-laminado-oro-estuche-orbita-8-_JM
MUERTA: LIQUIDAR;3;MCO2068241447;"Anillo Para Mujer Elegante Plata 975 Laminado Oro Estuche Órbita 8.5";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2068241447-anillo-para-mujer-elegante-plata-975-laminado-oro-estuche-orbita-85-_JM
MUERTA: LIQUIDAR;3;MCO2067988211;"Anillo De Plata 975 Laminado En Oro Para Hombre Con Zirconio Titan Azul 10";internacional;1;2;198000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2067988211-anillo-de-plata-975-laminado-en-oro-para-hombre-con-zirconio-titan-azul-10-_JM
MUERTA: LIQUIDAR;3;MCO2068000677;"Anillo De Plata 975 Laminado En Oro Para Hombre Con Zirconio Nemea 10";internacional;1;11;198000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2068000677-anillo-de-plata-975-laminado-en-oro-para-hombre-con-zirconio-nemea-10-_JM
MUERTA: LIQUIDAR;3;MCO2068241449;"Anillo Para Mujer Elegante Plata 975 Laminado Oro Estuche Gravedad 8.5";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2068241449-anillo-para-mujer-elegante-plata-975-laminado-oro-estuche-gravedad-85-_JM
MUERTA: LIQUIDAR;3;MCO2068000679;"Anillo De Plata 975 Laminado En Oro Para Hombre Con Zirconio Cronos 10";internacional;2;2;198000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2068000679-anillo-de-plata-975-laminado-en-oro-para-hombre-con-zirconio-cronos-10-_JM
MUERTA: LIQUIDAR;3;MCO2068290717;"Anillo Para Mujer Elegante Plata 975 Laminado Oro Estuche Umbra 8.5";internacional;2;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2068290717-anillo-para-mujer-elegante-plata-975-laminado-oro-estuche-umbra-85-_JM
MUERTA: LIQUIDAR;3;MCO2068290719;"Anillo Para Mujer Elegante Plata 975 Laminado Oro Estuche Nébula 8";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2068290719-anillo-para-mujer-elegante-plata-975-laminado-oro-estuche-nebula-8-_JM
MUERTA: LIQUIDAR;3;MCO2068290721;"Anillo Para Mujer Elegante Plata 975 Laminado Oro Estuche Kilonova 8";internacional;1;2;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2068290721-anillo-para-mujer-elegante-plata-975-laminado-oro-estuche-kilonova-8-_JM
MUERTA: LIQUIDAR;3;MCO2068278397;"Anillo Para Mujer Elegante Plata 975 Laminado Oro Estuche Nébula 7";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2068278397-anillo-para-mujer-elegante-plata-975-laminado-oro-estuche-nebula-7-_JM
MUERTA: LIQUIDAR;3;MCO2068278395;"Anillo Para Mujer Elegante Plata 975 Laminado Oro Estuche Órbita 7";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2068278395-anillo-para-mujer-elegante-plata-975-laminado-oro-estuche-orbita-7-_JM
MUERTA: LIQUIDAR;3;MCO2067925447;"Anillo De Plata 975 Laminado En Oro Para Hombre Con Zirconio Nemea 9";internacional;1;0;198000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2067925447-anillo-de-plata-975-laminado-en-oro-para-hombre-con-zirconio-nemea-9-_JM
MUERTA: LIQUIDAR;3;MCO2067925449;"Anillo De Plata 975 Laminado En Oro Para Hombre Con Zirconio Zeus 9";internacional;1;1;198000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2067925449-anillo-de-plata-975-laminado-en-oro-para-hombre-con-zirconio-zeus-9-_JM
MUERTA: LIQUIDAR;3;MCO2067925445;"Anillo De Plata 975 Laminado En Oro Para Hombre Con Zirconio Zeus 11";internacional;1;0;198000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2067925445-anillo-de-plata-975-laminado-en-oro-para-hombre-con-zirconio-zeus-11-_JM
NADIE LA VE;4;MCO565672357;"Zapato Zapatilla Baleta De Ceremonia Tipo Princesa";sin clasificar;49;7;115900;1666000;4;0;https://articulo.mercadolibre.com.co/MCO-565672357-zapato-zapatilla-baleta-de-ceremonia-tipo-princesa-_JM
NADIE LA VE;4;MCO611698205;"Sandalia Tacón Niña Dama Comoda Ocasión Elegante Fiesta";sin clasificar;32;5;125000;1024000;0;1;https://articulo.mercadolibre.com.co/MCO-611698205-sandalia-tacon-nina-dama-comoda-ocasion-elegante-fiesta-_JM
NADIE LA VE;4;MCO1337156981;"Sandalia Para Niña De Fiesta Elegante Primera Comunión ";sin clasificar;19;6;138900;646000;1;2;https://articulo.mercadolibre.com.co/MCO-1337156981-sandalia-para-nina-de-fiesta-elegante-primera-comunion-_JM
NADIE LA VE;4;MCO2589261256;"Sandalia Elegante Niña Fiesta Ocasión Primera Comunión";sin clasificar;13;6;129900;442000;1;0;https://articulo.mercadolibre.com.co/MCO-2589261256-sandalia-elegante-nina-fiesta-ocasion-primera-comunion-_JM
NADIE LA VE;4;MCO977489323;"Tiara Corona Tocado Mujer Sepia Primera Comunión Metal";sin clasificar;28;2;59800;383768;27;5;https://articulo.mercadolibre.com.co/MCO-977489323-tiara-corona-tocado-mujer-sepia-primera-comunion-metal-_JM
NADIE LA VE;4;MCO2589272344;"Zapato Baleta Para Niña Primera Comunión";sin clasificar;16;5;109900;368000;15;3;https://articulo.mercadolibre.com.co/MCO-2589272344-zapato-baleta-para-nina-primera-comunion-_JM
NADIE LA VE;4;MCO611697399;"Media Velada Blanco Niña Pantalon Premium Toda Talla";sin clasificar;33;4;31800;280500;11;14;https://articulo.mercadolibre.com.co/MCO-611697399-media-velada-blanco-nina-pantalon-premium-toda-talla-_JM
NADIE LA VE;4;MCO603903304;"Cirio De Primera Comunión Decorados ";nacional;31;6;47900;279000;6;7;https://articulo.mercadolibre.com.co/MCO-603903304-cirio-de-primera-comunion-decorados-_JM
NADIE LA VE;4;MCO611710701;"Corona Floral Primera Comunión";sin clasificar;23;5;42800;218500;2;0;https://articulo.mercadolibre.com.co/MCO-611710701-corona-floral-primera-comunion-_JM
NADIE LA VE;4;MCO623718361;"Cirio Confirmación Decorado";nacional;23;16;40900;207000;9;7;https://articulo.mercadolibre.com.co/MCO-623718361-cirio-confirmacion-decorado-_JM
NADIE LA VE;4;MCO1430161529;"Broche Para Dama En Forma De Flores Libélula Trébol Corona ";sin clasificar;39;13;34900;206700;24;5;https://articulo.mercadolibre.com.co/MCO-1430161529-broche-para-dama-en-forma-de-flores-libelula-trebol-corona-_JM
NADIE LA VE;4;MCO1103703735;"Accesorios Novia Matrimonio Diadema Tiara Tocado 100 Cm";sin clasificar;20;7;55900;202460;5;1;https://articulo.mercadolibre.com.co/MCO-1103703735-accesorios-novia-matrimonio-diadema-tiara-tocado-100-cm-_JM
NADIE LA VE;4;MCO977746143;"Tiara Tocado Diadema Novia Quinceañera 50cm";sin clasificar;31;11;41900;186000;59;14;https://articulo.mercadolibre.com.co/MCO-977746143-tiara-tocado-diadema-novia-quinceanera-50cm-_JM
NADIE LA VE;4;MCO1607472181;"Corbatin Niño Elegante Seda";nacional;50;5;23800;159600;10;3;https://articulo.mercadolibre.com.co/MCO-1607472181-corbatin-nino-elegante-seda-_JM
NADIE LA VE;4;MCO622334475;"Pava Bautizo Niña Bebe";sin clasificar;13;8;46900;143000;6;0;https://articulo.mercadolibre.com.co/MCO-622334475-pava-bautizo-nina-bebe-_JM
NADIE LA VE;4;MCO908412511;"Tocado Tiara Corona Para Novia  Quinceañera Primera Comunión Plateado";sin clasificar;14;1;55000;131222;2;0;https://articulo.mercadolibre.com.co/MCO-908412511-tocado-tiara-corona-para-novia-quinceanera-primera-comunion-plateado-_JM
NADIE LA VE;4;MCO1453059350;"Pin Broche Para Caballero Elegante ";sin clasificar;17;7;41900;123590;4;3;https://articulo.mercadolibre.com.co/MCO-1453059350-pin-broche-para-caballero-elegante-_JM
NADIE LA VE;4;MCO1103668880;"Pin Broche De Cuello Para Camisa Unisex ";sin clasificar;19;3;37900;123348;1;2;https://articulo.mercadolibre.com.co/MCO-1103668880-pin-broche-de-cuello-para-camisa-unisex-_JM
NADIE LA VE;4;MCO636770710;"Kit Primera Comunión Niña Cirio Corona Guantes Libro Rosario";nacional;4;18;98800;116000;1;3;https://articulo.mercadolibre.com.co/MCO-636770710-kit-primera-comunion-nina-cirio-corona-guantes-libro-rosario-_JM
NADIE LA VE;4;MCO1315115529;"Pin  Prendedor Broche Metalico Hombre Traje";sin clasificar;18;12;38800;108324;1;3;https://articulo.mercadolibre.com.co/MCO-1315115529-pin-prendedor-broche-metalico-hombre-traje-_JM
NADIE LA VE;4;MCO612897484;"Pañuelo Blanco Para Bautizo";sin clasificar;19;19;21800;95000;1;0;https://articulo.mercadolibre.com.co/MCO-612897484-panuelo-blanco-para-bautizo-_JM
NADIE LA VE;4;MCO1307277899;"Tirantes Unisex Junior";sin clasificar;21;3;27800;94500;0;1;https://articulo.mercadolibre.com.co/MCO-1307277899-tirantes-unisex-junior-_JM
NADIE LA VE;4;MCO2256248404;"Pin Caballero En Forma De Rosa ";sin clasificar;35;4;23800;87500;36;11;https://articulo.mercadolibre.com.co/MCO-2256248404-pin-caballero-en-forma-de-rosa-_JM
NADIE LA VE;4;MCO1279437795;"Accesorio Broche Pin  Y Pisa Cuello Para Traje Hombre ";sin clasificar;8;7;49800;87392;2;0;https://articulo.mercadolibre.com.co/MCO-1279437795-accesorio-broche-pin-y-pisa-cuello-para-traje-hombre-_JM
NADIE LA VE;4;MCO962498367;"Tocado Peineta Novia Quinceañera Primera Comunión";sin clasificar;15;13;36900;83955;26;6;https://articulo.mercadolibre.com.co/MCO-962498367-tocado-peineta-novia-quinceanera-primera-comunion-_JM
NADIE LA VE;4;MCO1315103449;"Accesorios Para El Cabello Tocado Bautizo Primera Comunión Blanco";sin clasificar;6;5;56900;67026;1;2;https://articulo.mercadolibre.com.co/MCO-1315103449-accesorios-para-el-cabello-tocado-bautizo-primera-comunion-blanco-_JM
NADIE LA VE;4;MCO977489243;"Tiara Corona Tocado Mariposa Niña Primera Comunión Elegante";sin clasificar;6;6;64900;61944;17;4;https://articulo.mercadolibre.com.co/MCO-977489243-tiara-corona-tocado-mariposa-nina-primera-comunion-elegante-_JM
NADIE LA VE;4;MCO1439134215;"Colador De Té Reutilizable De Acero Inoxidable Plateado";sin clasificar;5;3;34900;59330;2;0;https://articulo.mercadolibre.com.co/MCO-1439134215-colador-de-te-reutilizable-de-acero-inoxidable-plateado-_JM
NADIE LA VE;4;MCO1103945805;"Tocado Flora Diadema Corona Peinado Novia Tiara Plateado";sin clasificar;5;11;48900;58120;13;2;https://articulo.mercadolibre.com.co/MCO-1103945805-tocado-flora-diadema-corona-peinado-novia-tiara-plateado-_JM
NADIE LA VE;4;MCO1546012738;"Accesorios Para El Cabello Tocado Novia  Plateado";sin clasificar;3;4;54900;57369;0;1;https://articulo.mercadolibre.com.co/MCO-1546012738-accesorios-para-el-cabello-tocado-novia-plateado-_JM
NADIE LA VE;4;MCO1619521095;"Conjunto Collar Pulsera Cubana Hip Hop 40 Cm Dorado";internacional;3;8;82800;53577;0;1;https://articulo.mercadolibre.com.co/MCO-1619521095-conjunto-collar-pulsera-cubana-hip-hop-40-cm-dorado-_JM
NADIE LA VE;4;MCO1703110710;"Tocado Pinza Para El Cabello Novia Quinceañera  Blanco";sin clasificar;6;10;44900;52428;13;2;https://articulo.mercadolibre.com.co/MCO-1703110710-tocado-pinza-para-el-cabello-novia-quinceanera-blanco-_JM
NADIE LA VE;4;MCO611883633;"Libro Para Primera Comunión";sin clasificar;16;17;14900;48000;2;2;https://articulo.mercadolibre.com.co/MCO-611883633-libro-para-primera-comunion-_JM
NADIE LA VE;4;MCO1402745233;"Conjunto Deportivo Top Y Short Para Dama ";sin clasificar;3;7;68800;45000;8;0;https://articulo.mercadolibre.com.co/MCO-1402745233-conjunto-deportivo-top-y-short-para-dama-_JM
NADIE LA VE;4;MCO612898703;"Guante Algodón Blanco Niños Adultos Formal Toda Ocasión";sin clasificar;11;3;20900;44000;2;0;https://articulo.mercadolibre.com.co/MCO-612898703-guante-algodon-blanco-ninos-adultos-formal-toda-ocasion-_JM
NADIE LA VE;4;MCO1202899663;"Correa Cinturon Reata Elastica Caballero Hebilla Metalica";sin clasificar;6;14;56800;42000;2;1;https://articulo.mercadolibre.com.co/MCO-1202899663-correa-cinturon-reata-elastica-caballero-hebilla-metalica-_JM
NADIE LA VE;4;MCO2209000154;"Pisa Corbata Clip Magnético Invisible Para Corbata Plateado";nacional;7;8;28900;40572;1;0;https://articulo.mercadolibre.com.co/MCO-2209000154-pisa-corbata-clip-magnetico-invisible-para-corbata-plateado-_JM
NADIE LA VE;4;MCO1289060467;"Pin Broche Para Caballero Elegante Dorado";sin clasificar;4;16;45800;40480;2;1;https://articulo.mercadolibre.com.co/MCO-1289060467-pin-broche-para-caballero-elegante-dorado-_JM
NADIE LA VE;4;MCO977578605;"Tocado Cabello Novia O Primera Comunión Floral Perlas Blanco";sin clasificar;6;7;56900;38226;3;2;https://articulo.mercadolibre.com.co/MCO-977578605-tocado-cabello-novia-o-primera-comunion-floral-perlas-blanco-_JM
NADIE LA VE;4;MCO1384180873;"Pulsera Cadena Anillos Muñeca Gotico Punk Hombre Mujer";internacional;9;17;28900;31824;10;1;https://articulo.mercadolibre.com.co/MCO-1384180873-pulsera-cadena-anillos-muneca-gotico-punk-hombre-mujer-_JM
NADIE LA VE;4;MCO2506951786;"Collar Con Diamantes De Imitación De Gota De Agua Para Mujer";internacional;3;0;49900;30462;2;1;https://articulo.mercadolibre.com.co/MCO-2506951786-collar-con-diamantes-de-imitacion-de-gota-de-agua-para-mujer-_JM
NADIE LA VE;4;MCO1559564886;"Pantalón Jean Licrado Negro Para Niño";sin clasificar;1;3;112900;30000;0;3;https://articulo.mercadolibre.com.co/MCO-1559564886-pantalon-jean-licrado-negro-para-nino-_JM
NADIE LA VE;4;MCO1107200781;"Tocado Diadema Tiara Corona Novia Brillante Largo Plateado";sin clasificar;3;18;46800;29508;8;2;https://articulo.mercadolibre.com.co/MCO-1107200781-tocado-diadema-tiara-corona-novia-brillante-largo-plateado-_JM
NADIE LA VE;4;MCO1023461984;"Guantes Satinados Para Bautizo ";sin clasificar;4;5;36800;28452;7;2;https://articulo.mercadolibre.com.co/MCO-1023461984-guantes-satinados-para-bautizo-_JM
NADIE LA VE;4;MCO1103946086;"Tiara Tocado Cabello Diadema Corona Novia Primera Comunión Blanco";sin clasificar;3;0;43800;25788;3;2;https://articulo.mercadolibre.com.co/MCO-1103946086-tiara-tocado-cabello-diadema-corona-novia-primera-comunion-blanco-_JM
NADIE LA VE;4;MCO1935394030;"Aretes Pendientes Elegantes Para Fiesta Brillantes Plateado";internacional;3;6;40900;25605;2;1;https://articulo.mercadolibre.com.co/MCO-1935394030-aretes-pendientes-elegantes-para-fiesta-brillantes-plateado-_JM
NADIE LA VE;4;MCO1929265107;"Collar Pulsera Tennis Verde Esmeralda Mujer Elegante Verde";internacional;3;5;55000;25500;1;0;https://articulo.mercadolibre.com.co/MCO-1929265107-collar-pulsera-tennis-verde-esmeralda-mujer-elegante-verde-_JM
NADIE LA VE;4;MCO1341436359;"Liguero De Encaje Para Mujer Accesorio De Boda Blanco";sin clasificar;3;0;31900;25119;1;1;https://articulo.mercadolibre.com.co/MCO-1341436359-liguero-de-encaje-para-mujer-accesorio-de-boda-blanco-_JM
NADIE LA VE;4;MCO3699784830;"Juego Collar Aretes Cobre Mujer Fiesta Plateado Azul Agua";internacional;2;16;65000;24458;3;0;https://articulo.mercadolibre.com.co/MCO-3699784830-juego-collar-aretes-cobre-mujer-fiesta-plateado-azul-agua-_JM
NADIE LA VE;4;MCO1319087635;"Tirantas Pierna Camisa Sin Arrugas Adulto";sin clasificar;2;9;44900;24276;6;8;https://articulo.mercadolibre.com.co/MCO-1319087635-tirantas-pierna-camisa-sin-arrugas-adulto-_JM
NADIE LA VE;4;MCO2143670466;"Short Legging Corto Gimnasio Yoga Hip Raise";sin clasificar;2;4;43900;23492;5;2;https://articulo.mercadolibre.com.co/MCO-2143670466-short-legging-corto-gimnasio-yoga-hip-raise-_JM
NADIE LA VE;4;MCO2203141136;"Toalla Turbante Para Pelo Microfibra Para Secar Cabello";sin clasificar;4;1;27800;23412;2;0;https://articulo.mercadolibre.com.co/MCO-2203141136-toalla-turbante-para-pelo-microfibra-para-secar-cabello-_JM
NADIE LA VE;4;MCO1554089501;"Tiara Corona Reina Quinceañera Primera Comunión Azul";sin clasificar;1;16;89900;22622;8;2;https://articulo.mercadolibre.com.co/MCO-1554089501-tiara-corona-reina-quinceanera-primera-comunion-azul-_JM
NADIE LA VE;4;MCO977555376;"Tocado Cabello Diadema Novia Quinceañera Primera Comunión Plateado";sin clasificar;3;16;43800;22272;12;2;https://articulo.mercadolibre.com.co/MCO-977555376-tocado-cabello-diadema-novia-quinceanera-primera-comunion-plateado-_JM
NADIE LA VE;4;MCO902494422;"Pinza Para El Pelo Flores Y Perlas De Cristal Para Novia Blanco";sin clasificar;6;2;45900;21924;1;0;https://articulo.mercadolibre.com.co/MCO-902494422-pinza-para-el-pelo-flores-y-perlas-de-cristal-para-novia-blanco-_JM
NADIE LA VE;4;MCO1292320061;"Aretes Elegantes Para Fiesta Novia Quinceañera Primera Comun Dorado";internacional;3;5;37900;20484;3;3;https://articulo.mercadolibre.com.co/MCO-1292320061-aretes-elegantes-para-fiesta-novia-quinceanera-primera-comun-dorado-_JM
NADIE LA VE;4;MCO2849135822;"Filtro Colador Infusor Té Aromática Hierbas Acero Inoxidable Plateado";sin clasificar;3;5;31900;20472;4;0;https://articulo.mercadolibre.com.co/MCO-2849135822-filtro-colador-infusor-te-aromatica-hierbas-acero-inoxidable-plateado-_JM
NADIE LA VE;4;MCO2200325212;"Conjunto De Lencería Erótica Sexy  ";sin clasificar;1;0;56900;18173;2;2;https://articulo.mercadolibre.com.co/MCO-2200325212-conjunto-de-lenceria-erotica-sexy-_JM
NADIE LA VE;4;MCO1436814037;"Cadena Para La Cintura Con Decoración Para Dama Elegante Plateado";internacional;2;1;42800;17000;1;0;https://articulo.mercadolibre.com.co/MCO-1436814037-cadena-para-la-cintura-con-decoracion-para-dama-elegante-plateado-_JM
NADIE LA VE;4;MCO2908157008;"Capa Impermeable Lluvia Perro Mascotas Lluvia";sin clasificar;1;2;59900;15500;2;0;https://articulo.mercadolibre.com.co/MCO-2908157008-capa-impermeable-lluvia-perro-mascotas-lluvia-_JM
NADIE LA VE;4;MCO2256331024;"Aretes Para Mujer Perlas Colgantes  Plateado";internacional;6;2;21800;15126;10;2;https://articulo.mercadolibre.com.co/MCO-2256331024-aretes-para-mujer-perlas-colgantes-plateado-_JM
NADIE LA VE;4;MCO2208923306;"Mentonera De Nailon Anti Ronquido ";sin clasificar;2;3;29800;13244;16;3;https://articulo.mercadolibre.com.co/MCO-2208923306-mentonera-de-nailon-anti-ronquido-_JM
NADIE LA VE;4;MCO1925465758;"Accesorio Tocado Para El Cabello Vincha Diadema Tiara Plateado";sin clasificar;1;0;48800;11600;1;2;https://articulo.mercadolibre.com.co/MCO-1925465758-accesorio-tocado-para-el-cabello-vincha-diadema-tiara-plateado-_JM
