accion;prioridad;publicacion_id;titulo;canal;stock;visitas_30d;precio;capital;vendidas_ene_jul_2025;vendidas_ago_dic_2025;link
TIENE TRAFICO, NO CIERRA;2;MCO1761638029;"Collar Flor Girasol Mujer Acero Inoxidable Elegante Regalo Dorado";internacional;5;25;49800;0;20;12;https://articulo.mercadolibre.com.co/MCO-1761638029-collar-flor-girasol-mujer-acero-inoxidable-elegante-regalo-dorado-_JM
TIENE TRAFICO, NO CIERRA;2;MCO1930208545;"Collar Aretes Pulsera Anillo Para Dama Elegante Verde";internacional;1;25;85000;0;0;0;https://articulo.mercadolibre.com.co/MCO-1930208545-collar-aretes-pulsera-anillo-para-dama-elegante-verde-_JM
TIENE TRAFICO, NO CIERRA;2;MCO3599256968;"Collar Cruz Corazón Plata 925 Zirconia Mujer Regalo Elegante Plateado";internacional;12;24;89900;0;3;0;https://articulo.mercadolibre.com.co/MCO-3599256968-collar-cruz-corazon-plata-925-zirconia-mujer-regalo-elegante-plateado-_JM
TIENE TRAFICO, NO CIERRA;2;MCO1313953197;"Tiara Tocado Para Novia Quinceañera Y Primera Comunión Blanco";sin clasificar;15;66;38800;0;34;11;https://articulo.mercadolibre.com.co/MCO-1313953197-tiara-tocado-para-novia-quinceanera-y-primera-comunion-blanco-_JM
TIENE TRAFICO, NO CIERRA;2;MCO1976436243;"Broche Pin Colibrí Esmaltado Para Ropa Y Accesorios Elegante Azul Colibrí";sin clasificar;6;24;25900;0;0;0;https://articulo.mercadolibre.com.co/MCO-1976436243-broche-pin-colibri-esmaltado-para-ropa-y-accesorios-elegante-azul-colibri-_JM
MUERTA: LIQUIDAR;3;MCO1711078261;"Set Tiara Collar Aretes Anillo 15 Años Princesa Elegante";internacional;12;6;280000;840000;0;0;https://articulo.mercadolibre.com.co/MCO-1711078261-set-tiara-collar-aretes-anillo-15-anos-princesa-elegante-_JM
MUERTA: LIQUIDAR;3;MCO1939344200;"Conjunto De Collar Aretes Y Tiara Para Quinceañera Novia";internacional;11;6;145000;328900;0;0;https://articulo.mercadolibre.com.co/MCO-1939344200-conjunto-de-collar-aretes-y-tiara-para-quinceanera-novia-_JM
MUERTA: LIQUIDAR;3;MCO611712200;"Balaca Para Niña Bautizo O Primera Comunión Blanco";sin clasificar;10;3;37900;90000;0;0;https://articulo.mercadolibre.com.co/MCO-611712200-balaca-para-nina-bautizo-o-primera-comunion-blanco-_JM
MUERTA: LIQUIDAR;3;MCO611878092;"Sandalia Negra";sin clasificar;2;2;88800;64000;0;0;https://articulo.mercadolibre.com.co/MCO-611878092-sandalia-negra-_JM
MUERTA: LIQUIDAR;3;MCO1795704215;"Collar Dije Cadena Leopardo Acero Inoxidable Elegante";internacional;6;1;55900;63756;0;0;https://articulo.mercadolibre.com.co/MCO-1795704215-collar-dije-cadena-leopardo-acero-inoxidable-elegante-_JM
MUERTA: LIQUIDAR;3;MCO3214446340;"Pulsera Manilla Brazalete Identificación Acero Unisex";internacional;10;12;32800;45000;0;0;https://articulo.mercadolibre.com.co/MCO-3214446340-pulsera-manilla-brazalete-identificacion-acero-unisex-_JM
MUERTA: LIQUIDAR;3;MCO3479783230;"Collar Vintage Tridente Poseidón Elegante";internacional;6;2;35900;40140;0;0;https://articulo.mercadolibre.com.co/MCO-3479783230-collar-vintage-tridente-poseidon-elegante-_JM
MUERTA: LIQUIDAR;3;MCO2506923516;"Collar Y Aretes Colgante Circonia De Cristal Para Mujer";internacional;7;3;55900;34314;0;0;https://articulo.mercadolibre.com.co/MCO-2506923516-collar-y-aretes-colgante-circonia-de-cristal-para-mujer-_JM
MUERTA: LIQUIDAR;3;MCO2830504368;"Corona Tocado Para Novia Reina Con Brillantes Lila";sin clasificar;1;11;113900;29616;0;0;https://articulo.mercadolibre.com.co/MCO-2830504368-corona-tocado-para-novia-reina-con-brillantes-lila-_JM
MUERTA: LIQUIDAR;3;MCO2200347182;"Camisón De Encaje Lenceria Sexy ";sin clasificar;1;1;58800;19103;0;0;https://articulo.mercadolibre.com.co/MCO-2200347182-camison-de-encaje-lenceria-sexy-_JM
MUERTA: LIQUIDAR;3;MCO1850552993;"Juego Tiara Collar Aretes Plateado Novia Quinceañera Elegant Plateado";internacional;1;3;125000;19000;0;0;https://articulo.mercadolibre.com.co/MCO-1850552993-juego-tiara-collar-aretes-plateado-novia-quinceanera-elegant-plateado-_JM
MUERTA: LIQUIDAR;3;MCO1292257727;"Accesorios Tocado Para Novia Quinceañera Primera Comunión  Plateado";sin clasificar;3;0;28900;16923;0;0;https://articulo.mercadolibre.com.co/MCO-1292257727-accesorios-tocado-para-novia-quinceanera-primera-comunion-plateado-_JM
MUERTA: LIQUIDAR;3;MCO1447303191;"Set Collar Y Aretes Imitación De Diamantes Para Mujer Plateado";internacional;1;4;55800;16582;0;0;https://articulo.mercadolibre.com.co/MCO-1447303191-set-collar-y-aretes-imitacion-de-diamantes-para-mujer-plateado-_JM
MUERTA: LIQUIDAR;3;MCO603977018;"Combo De Primera Comunión; Libro, Camandula, Guantes Y Cirio";nacional;7;6;95800;0;0;0;https://articulo.mercadolibre.com.co/MCO-603977018-combo-de-primera-comunion-libro-camandula-guantes-y-cirio-_JM
MUERTA: LIQUIDAR;3;MCO3479873332;"Collar Dije Simbolo Berserk Marca Sacrificio Guts Anime Rojo";internacional;3;5;59900;0;0;0;https://articulo.mercadolibre.com.co/MCO-3479873332-collar-dije-simbolo-berserk-marca-sacrificio-guts-anime-rojo-_JM
MUERTA: LIQUIDAR;3;MCO1850552995;"Juego Tiara Collar Aretes Plateado Novia Quinceañera Elegant Plateado 3";internacional;1;0;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-1850552995-juego-tiara-collar-aretes-plateado-novia-quinceanera-elegant-plateado-3-_JM
MUERTA: LIQUIDAR;3;MCO1846212227;"Juego Collar Aretes Pulsera Cobre Mujer Fiesta Elegante Oro Rosa 1";internacional;1;14;65000;0;0;0;https://articulo.mercadolibre.com.co/MCO-1846212227-juego-collar-aretes-pulsera-cobre-mujer-fiesta-elegante-oro-rosa-1-_JM
MUERTA: LIQUIDAR;3;MCO1930168325;"Collar Aretes Pulsera Para Dama Elegante Verde";internacional;1;16;75000;0;0;0;https://articulo.mercadolibre.com.co/MCO-1930168325-collar-aretes-pulsera-para-dama-elegante-verde-_JM
MUERTA: LIQUIDAR;3;MCO1930234163;"Collar Aretes Pulsera Anillo Para Dama Elegante Verde / Plateado";internacional;1;19;85000;0;0;0;https://articulo.mercadolibre.com.co/MCO-1930234163-collar-aretes-pulsera-anillo-para-dama-elegante-verde-plateado-_JM
MUERTA: LIQUIDAR;3;MCO1841024007;"Corona Tocado Para Novia Reina Con Brillantes Verde";sin clasificar;1;5;113900;0;0;0;https://articulo.mercadolibre.com.co/MCO-1841024007-corona-tocado-para-novia-reina-con-brillantes-verde-_JM
MUERTA: LIQUIDAR;3;MCO4019431918;"Set Collar Y Aretes Elegante Diseño Floral Negro Plateado Negro";internacional;1;6;59400;0;0;0;https://articulo.mercadolibre.com.co/MCO-4019431918-set-collar-y-aretes-elegante-diseno-floral-negro-plateado-negro-_JM
MUERTA: LIQUIDAR;3;MCO1976460307;"Anillo Girasol Giratorio + Collar + Caja Regalo Ajustable Dorado Ajustable";internacional;4;3;84900;0;0;0;https://articulo.mercadolibre.com.co/MCO-1976460307-anillo-girasol-giratorio-collar-caja-regalo-ajustable-dorado-ajustable-_JM
MUERTA: LIQUIDAR;3;MCO1959844621;"Broche Vintage Cristales Azules Y Gota Colgante Para Dama Azul";sin clasificar;1;11;55000;0;0;0;https://articulo.mercadolibre.com.co/MCO-1959844621-broche-vintage-cristales-azules-y-gota-colgante-para-dama-azul-_JM
MUERTA: LIQUIDAR;3;MCO1341410871;"Liguero De Encaje Para Mujer Accesorio De Boda Blanco";sin clasificar;7;3;39900;0;0;0;https://articulo.mercadolibre.com.co/MCO-1341410871-liguero-de-encaje-para-mujer-accesorio-de-boda-blanco-_JM
MUERTA: LIQUIDAR;3;MCO4019263146;"Set Joyería Dama 4 Piezas Collar, Aretes, Pulsera Y Anillo Plateado";internacional;1;6;79900;0;0;0;https://articulo.mercadolibre.com.co/MCO-4019263146-set-joyeria-dama-4-piezas-collar-aretes-pulsera-y-anillo-plateado-_JM
MUERTA: LIQUIDAR;3;MCO1959870691;"Aretes Collar Trebol Elegante Para Dama Dorado Verde Dorado";internacional;1;10;55000;0;0;0;https://articulo.mercadolibre.com.co/MCO-1959870691-aretes-collar-trebol-elegante-para-dama-dorado-verde-dorado-_JM
MUERTA: LIQUIDAR;3;MCO1959820343;"Set Collar Y Aretes Elegante Diseño Floral Negro Plateado Plateado";internacional;1;3;59400;0;0;0;https://articulo.mercadolibre.com.co/MCO-1959820343-set-collar-y-aretes-elegante-diseno-floral-negro-plateado-plateado-_JM
MUERTA: LIQUIDAR;3;MCO2064456069;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Suspiro 15 8";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2064456069-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-suspiro-15-8-_JM
MUERTA: LIQUIDAR;3;MCO2064456067;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Castillo 15 6.6";internacional;1;1;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2064456067-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-castillo-15-66-_JM
MUERTA: LIQUIDAR;3;MCO2064456071;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Hechizo 15 6";internacional;1;1;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2064456071-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-hechizo-15-6-_JM
MUERTA: LIQUIDAR;3;MCO4223139046;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Majestad 7.5";internacional;1;1;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4223139046-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-majestad-75-_JM
MUERTA: LIQUIDAR;3;MCO4223139036;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Carruaje 15 Rosado 5.5";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4223139036-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-carruaje-15-rosado-55-_JM
MUERTA: LIQUIDAR;3;MCO4223139050;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Corona 8";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4223139050-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-corona-8-_JM
MUERTA: LIQUIDAR;3;MCO4223139038;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Carruaje 15 Plata 7";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4223139038-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-carruaje-15-plata-7-_JM
MUERTA: LIQUIDAR;3;MCO4097395806;"Conjunto Collar Pulsera Cubana Hip Hop 40 Cm Plateado";internacional;5;16;82800;0;0;0;https://articulo.mercadolibre.com.co/MCO-4097395806-conjunto-collar-pulsera-cubana-hip-hop-40-cm-plateado-_JM
MUERTA: LIQUIDAR;3;MCO4223139034;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Palacio 7";internacional;1;7;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4223139034-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-palacio-7-_JM
MUERTA: LIQUIDAR;3;MCO4223139042;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Ensueño 15 7.5";internacional;1;0;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4223139042-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-ensueno-15-75-_JM
